student_id,scholarship_id,rating,interaction_type
STU0001,S0193,2,save
STU0001,S0048,4,save
STU0001,S0126,1,application
STU0001,S0144,5,click
STU0001,S0019,3,click
STU0001,S0173,2,application
STU0001,S0115,2,click
STU0001,S0172,2,click
STU0001,S0011,2,click
STU0001,S0131,3,save
STU0001,S0043,2,application
STU0001,S0133,3,click
STU0001,S0078,3,application
STU0001,S0006,3,save
STU0002,S0117,4,click
STU0002,S0091,2,click
STU0002,S0024,3,click
STU0002,S0085,3,save
STU0002,S0128,4,application
STU0002,S0157,1,application
STU0002,S0156,2,save
STU0002,S0063,3,application
STU0002,S0007,3,click
STU0002,S0198,1,save
STU0002,S0064,3,save
STU0002,S0111,1,application
STU0002,S0069,5,save
STU0002,S0114,1,save
STU0003,S0105,4,application
STU0003,S0001,2,click
STU0003,S0064,1,save
STU0003,S0025,4,application
STU0003,S0094,3,click
STU0003,S0028,3,application
STU0004,S0095,2,click
STU0004,S0093,3,application
STU0004,S0170,2,save
STU0004,S0032,5,application
STU0004,S0141,2,save
STU0004,S0137,4,application
STU0004,S0063,1,application
STU0004,S0101,4,click
STU0004,S0079,5,application
STU0004,S0015,3,save
STU0004,S0109,3,click
STU0004,S0077,2,save
STU0004,S0054,4,save
STU0005,S0076,2,save
STU0005,S0149,4,save
STU0005,S0081,1,save
STU0005,S0151,3,save
STU0005,S0054,3,save
STU0005,S0065,3,click
STU0005,S0096,2,click
STU0005,S0064,3,application
STU0005,S0174,3,save
STU0005,S0124,2,save
STU0005,S0191,3,save
STU0006,S0189,2,click
STU0006,S0097,3,click
STU0006,S0104,4,click
STU0006,S0193,2,click
STU0006,S0111,2,application
STU0006,S0159,1,click
STU0006,S0069,1,save
STU0006,S0110,2,click
STU0006,S0096,3,save
STU0006,S0056,2,application
STU0006,S0163,3,click
STU0006,S0081,3,application
STU0006,S0119,4,save
STU0006,S0141,1,application
STU0006,S0181,4,application
STU0006,S0092,2,save
STU0007,S0200,3,save
STU0007,S0160,3,application
STU0007,S0031,4,click
STU0007,S0166,1,click
STU0007,S0028,2,click
STU0007,S0105,3,application
STU0007,S0153,3,application
STU0007,S0023,3,application
STU0007,S0163,3,click
STU0007,S0171,3,save
STU0007,S0043,3,application
STU0007,S0162,4,application
STU0007,S0142,4,application
STU0007,S0070,4,application
STU0008,S0030,3,save
STU0008,S0096,2,application
STU0008,S0183,3,save
STU0008,S0035,2,click
STU0008,S0159,3,save
STU0008,S0018,1,application
STU0008,S0100,2,application
STU0008,S0055,4,click
STU0008,S0071,3,save
STU0008,S0094,2,click
STU0008,S0174,2,click
STU0008,S0160,3,click
STU0008,S0185,3,save
STU0008,S0180,3,click
STU0008,S0140,3,save
STU0008,S0170,3,click
STU0009,S0162,3,save
STU0009,S0051,3,application
STU0009,S0050,5,click
STU0009,S0141,1,application
STU0009,S0166,2,application
STU0009,S0186,3,save
STU0009,S0188,3,save
STU0009,S0140,4,save
STU0009,S0169,4,application
STU0009,S0014,1,application
STU0009,S0172,3,click
STU0009,S0074,3,save
STU0009,S0002,2,save
STU0009,S0048,1,click
STU0010,S0053,2,click
STU0010,S0062,3,application
STU0010,S0019,2,click
STU0010,S0192,3,application
STU0010,S0160,1,save
STU0010,S0035,2,click
STU0010,S0061,4,application
STU0010,S0116,3,save
STU0010,S0182,3,application
STU0010,S0099,3,save
STU0010,S0161,2,click
STU0010,S0195,4,click
STU0010,S0131,4,application
STU0010,S0133,1,application
STU0010,S0028,3,click
STU0010,S0162,2,application
STU0011,S0095,3,save
STU0011,S0153,4,click
STU0011,S0134,2,save
STU0011,S0019,3,click
STU0011,S0102,4,application
STU0011,S0078,2,click
STU0011,S0075,3,save
STU0011,S0092,2,click
STU0011,S0076,2,application
STU0011,S0090,3,click
STU0011,S0098,1,save
STU0011,S0112,3,save
STU0012,S0039,4,save
STU0012,S0163,3,click
STU0012,S0089,4,click
STU0012,S0001,3,application
STU0012,S0079,4,application
STU0012,S0118,2,click
STU0012,S0119,3,save
STU0012,S0030,2,save
STU0012,S0105,2,save
STU0012,S0041,2,application
STU0012,S0166,3,save
STU0012,S0092,3,click
STU0012,S0116,3,click
STU0012,S0098,2,application
STU0012,S0145,3,application
STU0012,S0191,1,application
STU0012,S0031,4,application
STU0012,S0120,4,save
STU0012,S0061,3,click
STU0012,S0112,3,click
STU0013,S0143,3,application
STU0013,S0014,2,click
STU0013,S0084,5,click
STU0013,S0097,2,save
STU0013,S0189,2,application
STU0013,S0065,3,save
STU0013,S0128,1,application
STU0013,S0079,2,save
STU0013,S0048,2,application
STU0013,S0040,4,save
STU0013,S0171,2,save
STU0013,S0057,1,click
STU0013,S0193,3,click
STU0013,S0039,2,save
STU0013,S0181,2,application
STU0013,S0015,3,save
STU0013,S0103,3,save
STU0013,S0164,3,click
STU0013,S0158,2,application
STU0014,S0019,2,application
STU0014,S0006,2,application
STU0014,S0076,2,save
STU0014,S0171,1,click
STU0014,S0168,2,save
STU0014,S0164,2,click
STU0014,S0099,3,save
STU0014,S0004,1,click
STU0014,S0080,4,click
STU0014,S0172,3,click
STU0015,S0067,1,save
STU0015,S0002,2,save
STU0015,S0115,1,click
STU0015,S0018,2,click
STU0015,S0010,2,click
STU0015,S0114,4,click
STU0015,S0005,2,save
STU0015,S0194,3,application
STU0015,S0162,3,click
STU0015,S0169,3,click
STU0015,S0015,2,application
STU0015,S0189,2,save
STU0015,S0083,2,click
STU0015,S0032,2,save
STU0015,S0133,3,save
STU0015,S0200,3,application
STU0016,S0058,3,application
STU0016,S0076,3,save
STU0016,S0013,4,save
STU0016,S0002,3,application
STU0016,S0191,1,save
STU0016,S0028,1,save
STU0016,S0192,3,application
STU0016,S0124,2,click
STU0016,S0096,3,save
STU0017,S0097,1,application
STU0017,S0080,3,save
STU0017,S0154,2,save
STU0017,S0187,3,click
STU0017,S0109,2,click
STU0017,S0169,5,save
STU0017,S0062,3,application
STU0018,S0031,3,click
STU0018,S0174,3,application
STU0018,S0032,2,click
STU0018,S0146,3,application
STU0018,S0037,2,application
STU0018,S0007,3,save
STU0018,S0143,3,application
STU0018,S0052,3,save
STU0018,S0107,2,save
STU0018,S0106,3,save
STU0019,S0144,3,save
STU0019,S0025,2,save
STU0019,S0126,1,save
STU0019,S0061,3,click
STU0019,S0103,2,save
STU0019,S0031,2,application
STU0019,S0115,3,save
