student_id,name,major,gpa,country,interests,background,study_level
STU0001,Student 1,Education,2.42,India,"Business Management, Creative Arts, Web Development",Background description for student 1,Undergraduate
STU0002,Student 2,Law,3.05,South Africa,"Web Development, Medical Research, AI",Background description for student 2,PhD
STU0003,Student 3,Law,3.85,UK,"Creative Arts, Data Analysis, Legal Studies",Background description for student 3,Masters
STU0004,Student 4,Medicine,2.97,Canada,"Business Management, Education Technology, Machine Learning",Background description for student 4,Undergraduate
STU0005,Student 5,Data Science,2.88,Australia,"Machine Learning, Environmental Conservation, Legal Studies",Background description for student 5,PhD
STU0006,Student 6,Data Science,3.33,Australia,"Business Management, Legal Studies, Data Analysis",Background description for student 6,Undergraduate
STU0007,Student 7,Computer Science,2.67,South Africa,"Environmental Conservation, Data Analysis, Creative Arts",Background description for student 7,Masters
STU0008,Student 8,Education,2.67,USA,"Machine Learning, Creative Arts, Legal Studies",Background description for student 8,PhD
STU0009,Student 9,Engineering,2.75,Japan,"Education Technology, Business Management, Web Development",Background description for student 9,Masters
STU0010,Student 10,Business,3.09,Canada,"Data Analysis, AI, Business Management",Background description for student 10,PhD
STU0011,Student 11,Arts,2.69,India,"Business Management, Web Development, Education Technology",Background description for student 11,Masters
STU0012,Student 12,Education,3.3,UK,"Data Analysis, Environmental Conservation, Education Technology",Background description for student 12,Masters
STU0013,Student 13,Data Science,3.6,Japan,"Environmental Conservation, Medical Research, Business Management",Background description for student 13,PhD
STU0014,Student 14,Business,2.99,South Africa,"Education Technology, Web Development, Environmental Conservation",Background description for student 14,Undergraduate
STU0015,Student 15,Education,3.41,UAE,"Business Management, Machine Learning, Education Technology",Background description for student 15,PhD
STU0016,Student 16,Computer Science,2.69,Japan,"Legal Studies, Environmental Conservation, Machine Learning",Background description for student 16,Masters
STU0017,Student 17,Arts,4.01,South Africa,"AI, Creative Arts, Environmental Conservation",Background description for student 17,PhD
STU0018,Student 18,Business,3.62,India,"Business Management, Education Technology, Creative Arts",Background description for student 18,Undergraduate
STU0019,Student 19,Computer Science,3.28,South Africa,"Education Technology, Creative Arts, Business Management",Background description for student 19,PhD
STU0020,Student 20,Education,2.8,USA,"Creative Arts, AI, Education Technology",Background description for student 20,PhD
STU0021,Student 21,Data Science,3.88,UK,"Machine Learning, Education Technology, Legal Studies",Background description for student 21,PhD
STU0022,Student 22,Computer Science,3.23,UAE,"Medical Research, Machine Learning, Creative Arts",Background description for student 22,PhD
STU0023,Student 23,Law,3.12,Canada,"Medical Research, Environmental Conservation, Web Development",Background description for student 23,PhD
STU0024,Student 24,Medicine,2.72,Japan,"Web Development, Creative Arts, Education Technology",Background description for student 24,Masters
STU0025,Student 25,Business,3.27,UK,"Data Analysis, Environmental Conservation, Creative Arts",Background description for student 25,PhD
STU0026,Student 26,Data Science,3.58,UK,"Machine Learning, AI, Creative Arts",Background description for student 26,Masters
STU0027,Student 27,Arts,3.14,Germany,"Legal Studies, Creative Arts, Business Management",Background description for student 27,PhD
STU0028,Student 28,Business,2.52,UK,"Web Development, Legal Studies, Business Management",Background description for student 28,Undergraduate
STU0029,Student 29,Arts,3.33,Japan,"Machine Learning, Legal Studies, Medical Research",Background description for student 29,PhD
STU0030,Student 30,Medicine,3.4,USA,"Education Technology, Machine Learning, Data Analysis",Background description for student 30,PhD
STU0031,Student 31,Education,2.7,Australia,"Legal Studies, Machine Learning, Medical Research",Background description for student 31,PhD
STU0032,Student 32,Computer Science,2.54,Germany,"Data Analysis, Medical Research, Education Technology",Background description for student 32,Masters
STU0033,Student 33,Education,3.07,India,"Education Technology, Medical Research, Environmental Conservation",Background description for student 33,Masters
STU0034,Student 34,Environmental Science,3.77,USA,"Legal Studies, Machine Learning, Business Management",Background description for student 34,Undergraduate
STU0035,Student 35,Engineering,2.55,South Africa,"Web Development, Machine Learning, Business Management",Background description for student 35,Masters
STU0036,Student 36,Computer Science,3.25,Germany,"AI, Creative Arts, Web Development",Background description for student 36,PhD
STU0037,Student 37,Medicine,2.61,Canada,"Machine Learning, Data Analysis, Creative Arts",Background description for student 37,PhD
STU0038,Student 38,Arts,3.52,Germany,"Medical Research, Web Development, AI",Background description for student 38,PhD
STU0039,Student 39,Engineering,3.84,Canada,"Machine Learning, Business Management, Legal Studies",Background description for student 39,Undergraduate
STU0040,Student 40,Engineering,3.66,USA,"Environmental Conservation, Business Management, Machine Learning",Background description for student 40,Undergraduate
STU0041,Student 41,Medicine,3.73,Brazil,"Legal Studies, Education Technology, Environmental Conservation",Background description for student 41,Masters
STU0042,Student 42,Business,2.96,India,"Creative Arts, Education Technology, Web Development",Background description for student 42,PhD
STU0043,Student 43,Engineering,2.45,USA,"AI, Education Technology, Legal Studies",Background description for student 43,Masters
STU0044,Student 44,Business,2.96,Germany,"AI, Legal Studies, Business Management",Background description for student 44,Undergraduate
STU0045,Student 45,Computer Science,3.0,Germany,"Data Analysis, AI, Machine Learning",Background description for student 45,Undergraduate
